24-08-2019 07:56:18.354 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.buildDefaultMergedContextConfiguration - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.learncamel.learncamelspringboot.route.HealthRouteMockTest], using SpringBootContextLoader
24-08-2019 07:56:18.456 [main] INFO  o.s.t.c.s.AbstractContextLoader.generateDefaultLocations - Could not detect default resource locations for test class [com.learncamel.learncamelspringboot.route.HealthRouteMockTest]: no resource found for suffixes {-context.xml, Context.groovy}.
24-08-2019 07:56:18.462 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses - Could not detect default configuration classes for test class [com.learncamel.learncamelspringboot.route.HealthRouteMockTest]: HealthRouteMockTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
24-08-2019 07:56:19.772 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses - Found @SpringBootConfiguration com.learncamel.learncamelspringboot.LearnCamelSpringBootApplication for test class com.learncamel.learncamelspringboot.route.HealthRouteMockTest
24-08-2019 07:56:20.919 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener]
24-08-2019 07:56:21.377 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper.getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@130dca52, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2654635, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@737a135b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@687ef2e0, org.springframework.test.context.support.DirtiesContextTestExecutionListener@15dcfae7, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3da05287, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1e636ea3, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@115667d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@736caf7a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4ce7fffa, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@497486b3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@63f8276e]
24-08-2019 07:56:21.917 [main] INFO  o.a.c.t.s.CamelSpringBootExecutionListener.prepareTestInstance - @RunWith(CamelSpringBootRunner.class) preparing: class com.learncamel.learncamelspringboot.route.HealthRouteMockTest
24-08-2019 07:56:28.053 [main] INFO  c.l.l.route.HealthRouteMockTest.logStarting - Starting HealthRouteMockTest on amy-VirtualBox with PID 23524 (started by amy in /home/amy/IdeaProjects/learncamel-spring-boot)
24-08-2019 07:56:28.061 [main] INFO  c.l.l.route.HealthRouteMockTest.logStartupProfileInfo - The following profiles are active: mock
24-08-2019 07:56:42.135 [main] INFO  c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor.postProcessBeanFactory - Post-processing PropertySource instances
24-08-2019 07:56:42.591 [main] INFO  c.u.j.EncryptablePropertySourceConverter.makeEncryptable - Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy
